,president,party,word_count,Indian Issues,Education,Agriculture,Development,War,Corporations,Banking,Revolutionary War,Mexican War,Diplomacy,Employment,Colonies,Taxation,Communism,Spanish War,Civil War,British Conflict,Infrastructure,Naval Concerns,Terrorism,Indian Conflict,Democracy,Tariffs,Currency,Globalism,topic_sum
17,Hayes,Republican,33954.0,0.1823774861679336,0.006638815354070153,0.012906781505097636,0.01913712046048053,0.0,0.015912821420681195,0.014620282798248336,0.0,0.031220076498783514,0.11671477105603084,0.0,0.013408949673047548,0.0057116223219364215,0.0,0.03676325442211825,0.08047727410356086,0.0242710425943603,0.04045041154304221,0.0,0.0,0.19213683206316323,0.0054157778372590495,0.014800048651413813,0.1831871458103036,0.00384948571846899,4.0
18,Hoover,Republican,25111.0,0.03851616798543449,0.0,0.6571591471567775,0.02218982205157635,0.0,0.011804583028665617,0.1463602134143387,0.0,0.012065735630973864,0.008941739270532538,0.0,0.0013750926612305413,0.002742772424017791,0.020026159417544962,0.006713870498632969,0.0,0.00577061929594672,0.011606290820310079,0.0,0.00039348610095552055,0.013477673536665466,0.016288838593815348,0.017445841693235396,0.0,0.0071219464193461104,4.0
19,Jackson,Democratic,85023.0,0.009228890150838184,0.0008472962777520362,0.0036706658356705103,0.0,0.001321571239587265,0.013248867638694357,0.28346457182747187,0.006538901007582841,0.012002910467560132,0.03643089595681338,0.0,0.12131669397897772,0.000126041099481719,0.001876465773358051,0.05993410143684162,0.07081372908427011,0.0952543402119427,0.025864518750314352,0.025454883325581098,0.003465568896255933,0.1551919243602918,0.0,0.05113479751421211,0.012437675288251793,0.010374689878250461,8.0
20,Jefferson,Democratic-Republican,20636.0,0.005902958176858013,0.001275913189296911,0.003434005734820881,0.00644606136206931,0.001905768876186964,0.00660880912956739,0.01720187190707955,0.03489937867195668,0.0011111111111111111,0.0058305071582774575,5.1650952255737955e-05,0.029227971039547242,0.0016465697506980706,0.005269993776127972,0.026919534263620485,0.022890503425076078,0.10071501681853093,0.0034761864514755293,0.6055041111146532,0.0021908561928332985,0.08408598994918977,0.005326172696480253,0.023366827024443808,0.002155848016430656,0.0025563832114127404,8.0
21,John Adams,Federalist,7137.0,0.0,0.0,0.0,0.0,0.0060726925841951005,0.0,0.0,0.0,0.0086201881825982,0.041576708142218546,0.0,0.015767927519160015,0.0,0.010507684796828575,0.23779361167245533,0.008513607815771112,0.16061971273544962,0.01147419397059465,0.1401024291298546,0.0024145150034891837,0.32474946829320034,0.0284725357996837,0.0,0.0,0.0033147243545010472,4.0
22,John Quincy Adams,Democratic-Republican,30699.0,0.0,0.0068943483657593835,0.002291256676974979,0.010556648861400057,0.0019620177842963864,0.008515603036266518,0.0,0.005588979477087433,0.0018508492131683952,0.06646369006364365,0.0009052572392465562,0.6336993880394094,0.00041879579637485535,0.003283433357219634,0.008460338346786576,0.07310254039221438,0.055660865159777646,0.0008415625993102719,0.007815350572615672,0.0,0.04821316099395553,0.00034721813537976257,0.06033420615056919,0.0027944897385437165,0.0,4.0
23,Kennedy,Democratic,11983.0,0.0,0.02832759510985157,0.0,0.23989139849697966,0.05223650114146407,0.0025410065890929478,0.0024060977894342452,0.0,0.0,0.0024763488197826903,0.057049690895466465,0.027235714501073302,0.22733119722576967,0.1664467091115651,0.0,0.004683402023229675,0.0,0.0,0.0,0.093156522311518,0.0,0.06073068725124173,0.023452135631322594,0.012034993102208286,0.0,2.0
24,Lincoln,Republican,27132.0,0.21027973489904386,0.006945136846303405,0.0,0.0,0.01730450129090761,0.03322356155182221,0.04917747609802332,0.02840422043445208,0.02129742368972715,0.024232075056888853,0.00395707662395932,0.1245611253772928,0.0017336693913358305,0.010147011978214777,0.012819365331948175,0.2134293567436568,0.01539235529376157,0.021231638878697702,0.03747062257762093,0.0,0.06626925378685007,0.007323690192682399,0.03014235356720623,0.03091936738350661,0.03373898300609831,4.0
25,Lyndon B. Johnson,Democratic,29008.0,0.013989963910260514,0.13856084695105234,0.0,0.15019954346915024,0.0743156431854079,0.02105725701248563,0.007983959099200008,9.658148650685965e-05,0.0,0.0059331606080139645,0.032976210351706094,0.004172039598169299,0.23995293897557404,0.04270175128388143,0.0033265242679886265,0.019146023630570146,0.0,0.012854020013607739,0.017393397470596653,0.0453546800097413,0.0,0.00688159223388959,2.9051967265137188e-05,0.012804375257856044,0.15027043921707642,6.0
26,Madison,Democratic-Republican,21663.0,0.004137485868486083,0.00032898230871817875,0.0006600391390859975,0.014629637278732201,0.003914708410293331,0.0008709606627530588,0.003608369388858843,0.3428590051853585,0.0002935761409637559,0.0,0.00018947320792280805,0.08865908305347278,0.0,0.0011819544379135837,0.00047834256871673894,0.005992443695349706,0.3811786547310786,0.0,0.02822589167621538,0.004985735447413179,0.0814350136127133,0.0002909582015982474,0.0058093141034073715,0.026906334937893243,0.0033640359430551605,8.0
